id,name,schema_definition,created_at,is_active,is_tax_deductible,matching_description,doc_group,display_name_he,ui_category,semantic_signals,group_name
16,Savings Account Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:39.309641+00,true,false,"Periodic statement for a savings account, often showing interest and ending balance.",Banking,דוח חשבון חיסכון,Money,"{""keywords_en"": [""savings account"", ""interest earned""], ""keywords_he"": [""חשבון חיסכון"", ""ריבית""], ""layout_hints"": [""balance summary""], ""ocr_patterns"": [], ""vendor_examples"": [""Bank Hapoalim"", ""Bank Leumi"", ""Israel Discount Bank"", ""Mizrahi-Tefahot"", ""First International Bank of Israel"", ""Bank of Jerusalem"", ""One Zero"", ""Chase"", ""Bank of America"", ""Wells Fargo"", ""Citibank"", ""Capital One"", ""PNC"", ""U.S. Bank""]}",
17,Investment Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:39.536446+00,true,false,"Brokerage or investment account statement listing holdings, trades, and valuations.",Brokerage,דוח השקעות,Money,"{""keywords_en"": [""investment statement"", ""portfolio"", ""market value""], ""keywords_he"": [""דוח השקעות"", ""אחזקות""], ""layout_hints"": [""positions table""], ""ocr_patterns"": [], ""vendor_examples"": [""IBI"", ""Meitav"", ""Altshuler Shaham"", ""Interactive Brokers"", ""Charles Schwab"", ""Fidelity"", ""Robinhood""]}",
18,Pension Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:39.763616+00,true,false,Periodic pension / retirement statement showing contributions and balance.,Savings,דוח פנסיה,Money,"{""keywords_en"": [""pension statement"", ""retirement account""], ""keywords_he"": [""פנסיה"", ""צבירה""], ""layout_hints"": [""employer/employee contributions""], ""ocr_patterns"": [], ""vendor_examples"": [""Menora Mivtachim"", ""Harel"", ""Phoenix"", ""Migdal"", ""Clal"", ""Vanguard"", ""Fidelity""]}",
19,Provident Fund Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:39.994262+00,true,false,Statement for provident fund / gemel / long-term savings product.,Savings,דוח קופת גמל,Money,"{""keywords_en"": [""provident fund"", ""gemel""], ""keywords_he"": [""קופת גמל"", ""הפקדות""], ""layout_hints"": [""fund summary""], ""ocr_patterns"": [], ""vendor_examples"": [""Meitav"", ""Altshuler Shaham"", ""Clal"", ""Phoenix"", ""Harel""]}",
20,Education Fund Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:40.221644+00,true,false,Israeli keren hishtalmut statement showing contributions and current value.,Savings,דוח קרן החינוך,Money,"{""keywords_en"": [""education fund statement"", ""keren hishtalmut""], ""keywords_he"": [""קרן השתלמות"", ""שווי""], ""layout_hints"": [""contribution breakdown""], ""ocr_patterns"": [], ""vendor_examples"": [""Yelin Lapidot"", ""Altshuler Shaham"", ""Meitav"", ""Phoenix"", ""Harel""]}",
21,Loan Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:40.452379+00,true,false,Ongoing statement for a personal or business loan including principal and payments.,Banking,דוח הלוואה,Money,"{""keywords_en"": [""loan statement"", ""principal balance""], ""keywords_he"": [""הלוואה"", ""יתרת קרן""], ""layout_hints"": [""repayment schedule""], ""ocr_patterns"": [], ""vendor_examples"": [""Bank Hapoalim"", ""Bank Leumi"", ""Israel Discount Bank"", ""Mizrahi-Tefahot"", ""First International Bank of Israel"", ""Bank of Jerusalem"", ""One Zero"", ""Chase"", ""Bank of America"", ""Wells Fargo"", ""Citibank"", ""Capital One"", ""PNC"", ""U.S. Bank""]}",
22,Mortgage Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:40.681486+00,true,false,"Mortgage account statement showing loan balance, payment due, and escrow if applicable.",Banking,דוח משכנתא,Money,"{""keywords_en"": [""mortgage statement"", ""escrow"", ""principal""], ""keywords_he"": [""משכנתא""], ""layout_hints"": [""payment coupon section""], ""ocr_patterns"": [], ""vendor_examples"": [""Bank Hapoalim"", ""Bank Leumi"", ""Israel Discount Bank"", ""Mizrahi-Tefahot"", ""First International Bank of Israel"", ""Bank of Jerusalem"", ""One Zero"", ""Chase"", ""Bank of America"", ""Wells Fargo"", ""Citibank"", ""Capital One"", ""PNC"", ""U.S. Bank""]}",
23,Tax Return,"{""extraction_schema"": {""amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Contract value / monthly amount""}, ""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""End / renewal date""}, ""party_one"": {""required"": false, ""data_type"": ""string"", ""description"": ""Primary party""}, ""party_two"": {""required"": false, ""data_type"": ""string"", ""description"": ""Counterparty""}, ""effective_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Effective date""}, ""contract_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Contract / agreement reference""}}}",2026-03-06 21:28:40.915621+00,true,false,"Submitted annual tax return form with income, deductions, and tax due/refund.",Government Finance,החזר מס,Money,"{""keywords_en"": [""tax return"", ""refund""], ""keywords_he"": [""דוח שנתי"", ""מס הכנסה""], ""layout_hints"": [""form layout""], ""ocr_patterns"": [""\\\\b1040\\\\b"", ""\\\\b1301\\\\b""], ""vendor_examples"": [""Israel Tax Authority"", ""IRS""]}",
24,Tax Assessment Notice,"{""extraction_schema"": {""amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Contract value / monthly amount""}, ""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""End / renewal date""}, ""party_one"": {""required"": false, ""data_type"": ""string"", ""description"": ""Primary party""}, ""party_two"": {""required"": false, ""data_type"": ""string"", ""description"": ""Counterparty""}, ""effective_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Effective date""}, ""contract_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Contract / agreement reference""}}}",2026-03-06 21:28:41.139939+00,true,false,Official tax assessment / notice from a tax authority describing calculated liability or refund.,Government Finance,הודעת הערכת מס,Money,"{""keywords_en"": [""tax assessment"", ""notice of assessment""], ""keywords_he"": [""שומת מס""], ""layout_hints"": [""government notice layout""], ""ocr_patterns"": [], ""vendor_examples"": [""Israel Tax Authority"", ""IRS""]}",
25,Tax Payment Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:41.371641+00,true,false,"Receipt proving payment of taxes, fees, or assessments.",Government Finance,קבלה לתשלום מס,Money,"{""keywords_en"": [""tax payment receipt""], ""keywords_he"": [""אישור תשלום מס""], ""layout_hints"": [""receipt layout""], ""ocr_patterns"": [], ""vendor_examples"": [""Israel Tax Authority"", ""IRS""]}",
26,Pay Slip,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:41.601844+00,true,false,"Salary pay slip showing gross pay, deductions, tax, pension, and net pay.",Employment,תלוש שכר,Money,"{""keywords_en"": [""pay slip"", ""gross pay"", ""net pay"", ""deductions""], ""keywords_he"": [""תלוש שכר"", ""ברוטו"", ""נטו""], ""layout_hints"": [""earnings/deductions grid""], ""ocr_patterns"": [], ""vendor_examples"": [""Malam PayWay"", ""Hilaan"", ""ADP"", ""Paychex"", ""Workday""]}",
27,Bonus Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:41.826189+00,true,false,"Statement or notice for bonus payment, commission, or annual incentive.",Employment,דוח בונוסים,Money,"{""keywords_en"": [""bonus statement"", ""incentive""], ""keywords_he"": [""בונוס"", ""מענק""], ""layout_hints"": [""pay component breakdown""], ""ocr_patterns"": [], ""vendor_examples"": [""ADP"", ""Workday"", ""Hilaan""]}",
